date,dlsales,dlincome,dunrate
1999-05-01,0.702636,0.172284,-0.1
1999-06-01,0.386582,0.337364,0.1
1999-07-01,0.772689,0.186117,0.0
1999-08-01,1.021971,0.420378,-0.1
1999-09-01,0.465736,-0.129804,0.0
1999-10-01,-0.083555,0.543213,-0.1
1999-11-01,1.293324,0.645914,0.0
1999-12-01,1.986089,0.773327,-0.1
2000-01-01,-0.672949,0.65521,0.0
2000-02-01,1.570881,0.387009,0.1
2000-03-01,1.246685,0.264949,-0.1
2000-04-01,-1.857915,0.502587,-0.2
2000-05-01,0.726337,0.410707,0.2
2000-06-01,0.658748,0.278881,0.0
2000-07-01,-0.774984,0.535514,0.0
2000-08-01,0.451399,0.619843,0.1
2000-09-01,1.353927,0.118761,-0.2
2000-10-01,-0.06804,0.285439,0.0
2000-11-01,-0.552312,0.042401,0.0
2000-12-01,-0.190622,0.204847,0.0
2001-01-01,1.678842,0.465254,0.3
2001-02-01,-0.093124,0.114509,0.0
2001-03-01,-1.034949,0.302767,0.1
2001-04-01,1.686827,-0.207932,0.1
2001-05-01,0.494022,-0.179971,-0.1
2001-06-01,-0.470702,0.03328,0.2
2001-07-01,-0.502583,1.482386,0.1
2001-08-01,0.933389,1.64871,0.3
2001-09-01,-2.574773,-0.860173,0.1
2001-10-01,7.173566,-1.786684,0.3
2001-11-01,-3.024507,0.116803,0.2
2001-12-01,-1.341298,0.186602,0.2
2002-01-01,0.301028,2.073718,0.0
2002-02-01,0.623739,0.160598,0.0
2002-03-01,-0.283689,0.07024,0.0
2002-04-01,1.097242,0.333441,0.2
2002-05-01,-0.778775,0.399232,-0.1
2002-06-01,0.521996,0.298147,0.0
2002-07-01,1.32311,-0.255769,0.0
2002-08-01,0.604516,0.018829,-0.1
2002-09-01,-1.700373,0.099734,0.0
2002-10-01,0.665246,0.264846,0.0
2002-11-01,0.165269,0.272565,0.2
2002-12-01,1.136045,0.270891,0.1
2003-01-01,0.699113,-0.08866,-0.2
2003-02-01,-1.381719,-0.340435,0.1
2003-03-01,1.215293,0.210571,0.0
2003-04-01,0.303519,0.52403,0.1
2003-05-01,0.19562,0.734783,0.1
2003-06-01,1.389383,0.263685,0.2
2003-07-01,0.859844,1.194429,-0.1
2003-08-01,1.136301,0.685474,-0.1
2003-09-01,-0.224222,-1.144168,0.0
2003-10-01,-0.239815,0.378597,-0.1
2003-11-01,0.410952,0.600074,-0.2
2003-12-01,0.422905,0.079618,-0.1
2004-01-01,0.42841,-0.054278,0.0
2004-02-01,0.634422,0.179006,-0.1
2004-03-01,1.811633,0.402045,0.2
2004-04-01,-0.68512,0.338589,-0.2
