date,sp500,wti,eurusd
2018-04-06,-2.216402,-2.38941,0.359125
2018-04-09,0.333102,2.184572,0.374075
2018-04-10,1.658852,3.228089,0.145997
2018-04-11,-0.554062,2.010802,0.372139
2018-04-12,0.821688,0.388408,-0.518136
2018-04-13,-0.289082,0.416605,0.016232
2018-04-16,0.807632,-1.676937,0.41304
2018-04-17,1.060514,0.406842,-0.226556
2018-04-18,0.083102,2.87555,0.283114
2018-04-19,-0.574258,-0.204768,-0.356045
2018-04-20,-0.857318,-0.058582,-0.438704
2018-04-23,0.005618,-0.956804,-0.538821
2018-04-24,-1.34709,0.073926,0.081826
2018-04-25,0.183543,0.501254,-0.393379
2018-04-26,1.038013,0.264356,-0.535179
2018-04-27,0.111302,-0.102722,-0.041286
2018-04-30,-0.822124,0.658523,-0.281201
2018-05-01,0.25458,-1.884626,-0.614773
2018-05-02,-0.72319,0.932028,-0.267023
2018-05-03,-0.225624,0.792025,0.01671
2018-05-04,1.272983,1.824023,-0.200703
2018-05-07,0.3452,1.46674,-0.159176
2018-05-08,-0.026569,-2.737149,-0.538042
2018-05-09,0.96356,3.329117,-0.092768
2018-05-10,0.9327,0.280663,0.370558
2018-05-11,0.170618,-0.943337,0.461275
2018-05-14,0.088313,0.451659,0.208969
2018-05-15,-0.686568,0.463647,-0.939604
2018-05-16,0.405234,0.126077,-0.642654
2018-05-17,-0.085621,0.055983,0.084796
2018-05-18,-0.26357,-0.33637,-0.195139
2018-05-21,0.735959,1.435665,-0.059466
2018-05-22,-0.314066,-0.235539,0.127383
2018-05-23,0.324311,-0.333473,-0.766744
2018-05-24,-0.202525,-1.514543,0.307404
2018-05-25,-0.236003,-4.110464,-0.538578
2018-05-29,-1.163158,-1.662746,-0.990662
2018-05-30,1.261591,2.132782,0.973516
2018-05-31,-0.690334,-1.863684,0.051427
2018-06-01,1.079076,-1.762226,0.077091
2018-06-04,0.44696,-1.608367,0.145455
2018-06-05,0.070237,1.151467,-0.205409
2018-06-06,0.853088,-1.16691,0.904057
2018-06-07,-0.071445,1.85148,0.313653
2018-06-08,0.312106,-0.288469,-0.356114
2018-06-11,0.106815,0.500494,0.246023
2018-06-12,0.174183,0.422706,-0.084767
2018-06-13,-0.403418,0.375912,-0.067866
2018-06-14,0.246846,0.419351,-1.281083
2018-06-15,-0.101759,-2.880733,-0.154839
2018-06-18,-0.212842,1.374907,-0.086125
2018-06-19,-0.403155,-1.251925,-0.250183
2018-06-20,0.17107,1.267096,0.129483
2018-06-21,-0.636571,-0.364742,0.068989
2018-06-22,0.186025,4.960185,0.258287
2018-06-25,-1.381979,1.281238,0.548792
2018-06-26,0.220215,7.334139,-0.162609
2018-06-27,-0.864152,2.856588,-0.747972
2018-06-28,0.615962,-5.251107,-0.051791
2018-06-29,0.075809,0.921541,0.816893
2018-07-02,0.306332,-0.324281,-0.627123
2018-07-03,-0.495963,0.405187,0.421379
2018-07-05,0.858381,-1.548523,0.376874
2018-07-06,0.844553,0.994355,0.349904
2018-07-09,0.878434,0.203101,0.051103
2018-07-10,0.346719,0.243178,-0.136333
2018-07-11,-0.711946,-5.036339,-0.051173
2018-07-12,0.871098,-0.269982,-0.256257
2018-07-13,0.107865,1.061506,-0.21405
2018-07-16,-0.102862,-4.036455,0.367883
2018-07-17,0.396578,-0.278899,-0.3936
2018-07-18,0.215816,1.096422,-0.163027
2018-07-19,-0.396078,0.926201,-0.352704
2018-07-20,-0.094893,1.273903,0.89225
2018-07-23,0.18364,-3.4878,-0.05126
2018-07-24,0.476955,4.139915,-0.153938
2018-07-25,0.906038,0.507401,-0.059929
2018-07-26,-0.303686,0.644621,-0.197163
2018-07-27,-0.658388,-4.178861,0.051471
2018-07-30,-0.57708,3.618557,0.496194
2018-07-31,0.487286,-1.857287,-0.102459
2018-08-01,-0.104092,-1.557574,-0.34229
2018-08-02,0.49144,0.217786,-0.463958
2018-08-03,0.463339,-0.669386,-0.12926
2018-08-06,0.353205,0.756367,-0.284962
2018-08-07,0.282018,0.231582,0.284962
